,VSI_Motor_Speed_RR,VSI_Motor_Speed_RL,VSI_Motor_Speed_FR,VSI_Motor_Speed_FL,VSI_TrqFeedback_RR,VSI_TrqFeedback_RL,VSI_TrqFeedback_FR,VSI_TrqFeedback_FL,MISC_Pos_Trq_Limit_RR,MISC_Pos_Trq_Limit_RL,MISC_Pos_Trq_Limit_FR,MISC_Pos_Trq_Limit_FL,MISC_Neg_Trq_Limit_RR,MISC_Neg_Trq_Limit_RL,MISC_Neg_Trq_Limit_FR,MISC_Neg_Trq_Limit_FL
139.39,9410.0,8131.0,7158.0,8252.0,10.60752,10.86624,10.9956,10.86624,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.4,9407.0,8114.0,7142.0,8395.0,11.12496,10.60752,11.12496,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.41,9379.0,8184.0,7145.0,8220.0,10.73688,10.86624,11.25432,10.73688,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.42,9358.0,8064.0,7138.0,8403.0,11.12496,10.86624,10.86624,11.51304,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.43,9415.0,8190.0,7147.0,8240.0,11.25432,10.86624,10.9956,10.73688,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.44,9378.0,8073.0,7139.0,8373.0,10.73688,10.3488,10.86624,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.45,9407.0,8173.0,7146.0,8262.0,11.51304,11.25432,10.73688,10.47816,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.46,9385.0,8109.0,7154.0,8354.0,10.73688,10.73688,10.9956,11.38368,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.47,9429.0,8149.0,7136.0,8315.0,11.90112,10.86624,10.9956,11.51304,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.48,9382.0,8133.0,7142.0,8305.0,10.47816,10.86624,10.86624,10.86624,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.49,9411.0,8128.0,7138.0,8349.0,11.25432,10.60752,10.86624,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.5,9362.0,8167.0,7148.0,8271.0,10.47816,10.86624,11.38368,10.60752,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.51,9410.0,8084.0,7148.0,8367.0,11.38368,10.86624,11.38368,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
